"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2473","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:42:00,FALSE,NA,"880194601449017345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FrauWise",66,TRUE,FALSE,NA,NA
"2474","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:41:52,FALSE,NA,"880194567647240193",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","whitehouserogue",66,TRUE,FALSE,NA,NA
"2475","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:41:30,FALSE,NA,"880194476056002560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emmepdad",66,TRUE,FALSE,NA,NA
"2476","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:41:28,FALSE,NA,"880194463913594881",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fmetaoui",66,TRUE,FALSE,NA,NA
"2477","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:41:27,FALSE,NA,"880194462105915393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gamer2012Pro",66,TRUE,FALSE,NA,NA
"2478","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:41:26,FALSE,NA,"880194458519715840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","scott_stalker2",66,TRUE,FALSE,NA,NA
"2479","RT @Vikings: Lightweight?!

<ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>

https://t.co/J9kSbIcoK7 https://t.co/DCa8EjS7gZ",FALSE,0,NA,2017-06-28 22:41:23,FALSE,NA,"880194443403460608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Iceman4354",123,TRUE,FALSE,NA,NA
"2480","Buffett's Berkshire on verge of becoming BofA's top shareholder https://t.co/pMbJAzeArw Via @Reuters #businessnews",FALSE,0,NA,2017-06-28 22:41:11,FALSE,NA,"880194395492016128",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","StateOfNetwork",0,FALSE,FALSE,NA,NA
"2481","https://t.co/paCgZ3YLnT UPDATE 1-Buffett's Berkshire on verge of becoming BofA's top… https://t.co/bShItDUJmD",FALSE,0,NA,2017-06-28 22:41:08,FALSE,NA,"880194382753935362",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","CLM_net",0,FALSE,FALSE,NA,NA
"2482","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:40:57,FALSE,NA,"880194333915439104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeorgesBiyo",66,TRUE,FALSE,NA,NA
"2483","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:40:52,FALSE,NA,"880194314705526786",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","justjennyms",66,TRUE,FALSE,NA,NA
"2484","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:40:23,FALSE,NA,"880194192051322880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CatherineDowne",66,TRUE,FALSE,NA,NA
"2485","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:40:22,FALSE,NA,"880194189157203968",NA,"<a href=""http://www.news365247live.com"" rel=""nofollow"">News365247live</a>","News365247live",66,TRUE,FALSE,NA,NA
"2486","RT @Vikings: Lightweight?!

<ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>

https://t.co/J9kSbIcoK7 https://t.co/DCa8EjS7gZ",FALSE,0,NA,2017-06-28 22:40:04,FALSE,NA,"880194113303449601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BOUSSAC3",123,TRUE,FALSE,NA,NA
"2487","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:39:36,FALSE,NA,"880193995657416706",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CallMeCrazyinAL",66,TRUE,FALSE,NA,NA
"2488","RT @Vikings: Lightweight?!

<ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>

https://t.co/J9kSbIcoK7 https://t.co/DCa8EjS7gZ",FALSE,0,NA,2017-06-28 22:39:31,FALSE,NA,"880193974266449920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chrisha75989752",123,TRUE,FALSE,NA,NA
"2489","Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/2t1jjM8IYO https://t.co/ywH3fd2zzO Reuters",FALSE,0,NA,2017-06-28 22:39:05,FALSE,NA,"880193865218740224",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","aqytha_joobjip",0,FALSE,FALSE,NA,NA
"2490","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:38:55,FALSE,NA,"880193825032904704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caroltpsworld",66,TRUE,FALSE,NA,NA
"2491","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:38:55,FALSE,NA,"880193822516555778",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","profkakie",66,TRUE,FALSE,NA,NA
"2492","If you're looking for work in WA, check out this #job: https://t.co/x6BRWx7k3S #Banking #Hiring #CareerArc",FALSE,0,NA,2017-06-28 22:38:51,FALSE,NA,"880193805147791360",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_WA_banking",0,FALSE,FALSE,NA,NA
"2493","US Fed approves large bank investor payout plans https://t.co/DFELPsPftu #news",FALSE,0,NA,2017-06-28 22:38:48,FALSE,NA,"880193795333029889",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SingaporeUpdate",0,FALSE,FALSE,NA,NA
"2494","Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/X1yGM0ds9F via @Reuters",FALSE,0,NA,2017-06-28 22:38:41,FALSE,NA,"880193763640975360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","parikshitm899",0,FALSE,FALSE,NA,NA
"2495","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:38:40,FALSE,NA,"880193759224397824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","REVOLP",66,TRUE,FALSE,NA,NA
"2496","REUTERS reports Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/BwRRM38zTd https://t.co/Jyatty4weL",FALSE,0,NA,2017-06-28 22:38:23,FALSE,NA,"880193689057984512",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","channel1america",0,FALSE,FALSE,NA,NA
"2497","Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/BrSpvZCRbC https://t.co/m65hsFGuIg… https://t.co/8g4wPSO6C2",FALSE,0,NA,2017-06-28 22:38:15,FALSE,NA,"880193656296263680",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ShafranNaizer",0,FALSE,FALSE,NA,NA
"2498","Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/iQ3la1qIjI https://t.co/RXW1V7yQxU",FALSE,0,NA,2017-06-28 22:38:14,FALSE,NA,"880193652491931648",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","DonJohnstonLC",0,FALSE,FALSE,NA,NA
"2499","Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/J18pDslqop … https://t.co/KYUtmmCij0",FALSE,0,NA,2017-06-28 22:38:07,FALSE,NA,"880193622746034176",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","bdnews24",0,FALSE,FALSE,NA,NA
"2500","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:37:51,FALSE,NA,"880193554571722752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TabbyChaps",66,TRUE,FALSE,NA,NA
"2501","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:37:33,FALSE,NA,"880193478948528129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","samsamgo1",66,TRUE,FALSE,NA,NA
"2502","Toured the new Vikings US Bank stadium. So that was pretty neat. https://t.co/R4UopQJfm6",FALSE,0,NA,2017-06-28 22:37:11,FALSE,NA,"880193385893646336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_lisaakarn",0,FALSE,FALSE,NA,NA
"2503","RT @Vikings: Lightweight?!

<ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>

https://t.co/J9kSbIcoK7 https://t.co/DCa8EjS7gZ",FALSE,0,NA,2017-06-28 22:37:02,FALSE,NA,"880193352074919936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MurdahTrick",123,TRUE,FALSE,NA,NA
"2504","RT @Vikings: Lightweight?!

<ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC><ed><U+00A0><U+00BD><ed><U+00B8><U+00AC>

https://t.co/J9kSbIcoK7 https://t.co/DCa8EjS7gZ",FALSE,0,NA,2017-06-28 22:36:51,FALSE,NA,"880193302095577088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dandemars",123,TRUE,FALSE,NA,NA
"2505","RT @JennaBPope: For anyone looking to open a bank account: @simple says ""our Terms of Use permit us to close accounts at our discretion"". S…",FALSE,0,NA,2017-06-28 22:36:43,FALSE,NA,"880193272370561024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MenudosRollos",4,TRUE,FALSE,NA,NA
"2506","RT @Reuters: Lawsuit over Deutsche Bank's Russia trades dismissed: U.S. judge https://t.co/nWuB4mweSa https://t.co/fPEiHO9U7H",FALSE,0,NA,2017-06-28 22:36:38,FALSE,NA,"880193251189411843",NA,"<a href=""https://github.com/sedenardi/rss-tweet"" rel=""nofollow"">node-rss-tweet</a>","reuters_once",66,TRUE,FALSE,NA,NA
